8.488,0.66865,-3.3462
8.489,0.6693,-3.3426
8.49,0.66767,-3.3417
8.491,0.67224,-3.3377
8.492,0.66865,-3.3361
8.493,0.66897,-3.3328
8.494,0.6693,-3.3292
8.495,0.67192,-3.3269
8.496,0.67159,-3.324
8.497,0.67061,-3.3204
8.498,0.6693,-3.3188
8.499,0.67159,-3.3155
8.5,0.67159,-3.3132
8.501,0.67192,-3.3106
8.502,0.67257,-3.3086
8.503,0.67094,-3.3073
8.504,0.67355,-3.305
8.505,0.67257,-3.3037
8.506,0.67388,-3.3014
8.507,0.67257,-3.2991
8.508,0.67519,-3.2965
8.509,0.67388,-3.2949
8.51,0.67453,-3.2926
8.511,0.67323,-3.2896
8.512,0.67813,-3.2867
8.513,0.67519,-3.2841
8.514,0.67453,-3.2821
8.515,0.67486,-3.2795
8.516,0.67715,-3.2775
8.517,0.67584,-3.2756
8.518,0.67584,-3.2733
8.519,0.67617,-3.272
8.52,0.67781,-3.27
8.521,0.67682,-3.2687
8.522,0.67715,-3.2664
8.523,0.67748,-3.2645
8.524,0.6765,-3.2628
8.525,0.67813,-3.2605
8.526,0.67682,-3.2586
8.527,0.67781,-3.2556
8.528,0.67715,-3.2533
8.529,0.67911,-3.2514
8.53,0.67879,-3.2484
8.531,0.67846,-3.2471
8.532,0.67682,-3.2442
8.533,0.68075,-3.2419
8.534,0.67879,-3.2406
8.535,0.67813,-3.2396
8.536,0.67748,-3.2376
8.537,0.6814,-3.2357
8.538,0.67944,-3.2344
8.539,0.67879,-3.2318
8.54,0.67781,-3.2304
8.541,0.68108,-3.2282
8.542,0.67977,-3.2265
8.543,0.67944,-3.2239
8.544,0.67813,-3.2223
8.545,0.67977,-3.2193
8.546,0.68042,-3.2167
8.547,0.67911,-3.2147
8.548,0.67911,-3.2128
8.549,0.68009,-3.2102
8.55,0.67879,-3.2079
8.551,0.67879,-3.2062
8.552,0.67944,-3.2046
8.553,0.67813,-3.2033
8.554,0.68009,-3.2013
8.555,0.68009,-3.2
8.556,0.68042,-3.1984
8.557,0.67846,-3.1958
8.558,0.68173,-3.1932
8.559,0.68075,-3.1915
8.56,0.67944,-3.1889
8.561,0.67879,-3.1869
8.562,0.68271,-3.184
8.563,0.68042,-3.182
8.564,0.68042,-3.1788
8.565,0.67977,-3.1771
8.566,0.68238,-3.1752
8.567,0.68042,-3.1739
8.568,0.68009,-3.1709
8.569,0.67911,-3.1696
8.57,0.68075,-3.168
8.571,0.68042,-3.1667
8.572,0.67977,-3.165
8.573,0.67911,-3.1631
8.574,0.67977,-3.1621
8.575,0.67977,-3.1595
8.576,0.67879,-3.1572
8.577,0.68042,-3.1536
8.578,0.67846,-3.1519
8.579,0.6814,-3.1503
8.58,0.67879,-3.1477
8.581,0.68075,-3.1457
8.582,0.67846,-3.1441
8.583,0.68238,-3.1418
8.584,0.68009,-3.1405
8.585,0.68009,-3.1382
8.586,0.67879,-3.1372
8.587,0.68337,-3.1353
8.588,0.68075,-3.1333
8.589,0.67944,-3.132
8.59,0.67944,-3.131
8.591,0.68238,-3.1291
8.592,0.6814,-3.1268
8.593,0.68042,-3.1248
8.594,0.67977,-3.1228
8.595,0.68206,-3.1212
8.596,0.68042,-3.1183
8.597,0.68009,-3.1156
8.598,0.68042,-3.1143
8.599,0.67977,-3.112
8.6,0.67977,-3.1111
8.601,0.67944,-3.1101
8.602,0.68042,-3.1088
8.603,0.67977,-3.1078
8.604,0.6814,-3.1065
8.605,0.67879,-3.1042
8.606,0.67911,-3.1035
8.607,0.67813,-3.1019
8.608,0.68108,-3.0999
8.609,0.67813,-3.0986
8.61,0.67911,-3.096
8.611,0.67748,-3.0954
8.612,0.68173,-3.0927
8.613,0.67846,-3.0914
8.614,0.67813,-3.0898
8.615,0.67846,-3.0885
8.616,0.68108,-3.0872
8.617,0.67911,-3.0862
8.618,0.67781,-3.0849
8.619,0.67715,-3.0836
8.62,0.67977,-3.0833
8.621,0.67879,-3.0816
8.622,0.67682,-3.081
8.623,0.67813,-3.0803
8.624,0.67813,-3.0793
8.625,0.67879,-3.078
8.626,0.67715,-3.0764
